"megalaj 4,2 tys."
"northgrip 8,2 tys."
"grenland 11,7 tys."
późny[b] 129 tys.
chiban 774 tys.
"kalabr 1,80 mln"
"gelas 2,58 mln"
"piacent 3,600 mln"
"zankl 5,333 mln"
"messyn 7,246 mln"
"torton 11,63 mln"
"serrawal 13,82 mln"
"lang 15,97 mln"
"burdygał 20,44 mln"
"akwitan 23,03 mln"
"szat 27,82 mln"
"rupel 33,9 mln"
"priabon 37,71 mln"
"barton 41,2 mln"
"lutet 47,8 mln"
"iprez 56,0 mln"
"tanet 59,2 mln"
"zeland 61,6 mln"
"dan 66,0 mln"
"mastrycht 72,1 ± 0,2 mln"
"kampan 83,6 ± 0,2 mln"
"santon 86,3 ± 0,5 mln"
"koniak 89,8 ± 0,3 mln"
"turon 93,9 mln"
"cenoman 100,5 mln"
"alb ~113,0 mln"
"apt ~125,0 mln"
"barrem ~129,4 mln"
"hoteryw ~132,6 mln"
"walanżyn ~139,8 mln"
"berrias ~145,0 mln"
"tyton 152,1 ± 0,9 mln"
"kimeryd 157,3 ± 1,0 mln"
"oksford 163,5 ± 1,0 mln"
"kelowej 166,1 ± 1,2 mln"
"baton 168,3 ± 1,3 mln"
"bajos 170,3 ± 1,4 mln"
"aalen 174,1 ± 1,0 mln"
"toark 182,7 ± 0,7 mln"
"pliensbach 190,8 ± 1,0 mln"
"synemur 199,3 ± 0,3 mln"
"hettang 201,3 ± 0,2 mln"
"retyk ~208,5 mln"
noryk ~227 mln
karnik ~237 mln
ladyn ~242 mln
"anizyk 247,2 mln"
"olenek 251,2 mln"
"ind 251,902 ± 0,024 mln"
"czangsing 254,14 ± 0,07 mln"
"wucziaping 259,1 ± 0,5 mln"
"kapitan 265,1 ± 0,4 mln"
"word 268,8 ± 0,5 mln"
"road 272,95 ± 0,11"
"kungur 283,5 ± 0,6 mln"
"artinsk 290,10 ± 0,26 mln"
"sakmar 293,52 ± 0,17 mln"
"assel 298,90 ± 0,15 mln"
"gżel 303,7 ± 0,1 mln"
"kasimow 307,0 ± 0,1 mln"
"moskow 315,2 ± 0,2 mln"
"baszkir 323,2 ± 0,4 mln"
"serpuchow 330,9 ± 0,2 mln"
"wizen 346,7 ± 0,4 mln"
"turnej 358,9 ± 0,4 mln"
"famen 372,2 ± 1,6 mln"
"fran 382,7 ± 1,6 mln"
"żywet 387,7 ± 0,8 mln"
"eifel 393,3 ± 1,2 mln"
"ems 407,6 ± 2,6 mln"
"prag 410,8 ± 2,8 mln"
"lochkow 419,2 ± 3,2 mln"
"przydol 423,0 ± 2,3 mln"
"ludford 425,6 ± 0,9 mln"
"gorst 427,4 ± 0,5 mln"
"homer 430,5 ± 0,7 mln"
"szejnwud 433,4 ± 0,8 mln"
"telicz 438,5 ± 1,1 mln"
"aeron 440,8 ± 1,2 mln"
"ruddan 443,8 ± 1,5 mln"
"hirnant 445,2 ± 1,4 mln"
"kat 453,0 ± 0,7 mln"
"sandb 458,4 ± 0,9 mln"
"darriwil 467,3 ± 1,1 mln"
"daping 470,0 ± 1,4 mln"
"flo 477,7 ± 1,4 mln"
"tremadok 485,4 ± 1,9 mln"
"piętro 10[b] ~489,5 mln"
dziangszan ~494 mln
paib ~497 mln
"gużang ~500,5 mln"
"drum ~504,5 mln"
wuliuan ~509 mln
piętro 4[b] ~514 mln
piętro 3[b] ~521 mln
piętro 2[b] ~529 mln
"fortun 541,0 ± 1,0 mln"
ediakar ~635 mln
kriogen ~720 mln
ton 1 mld
"sten 1,2 mld"
"ektas 1,4 mld"
"kalim 1,6 mld"
"stater 1,8 mld"
"orosir 2,05 mld"
"riak 2,3 mld"
"sider 2,5 mld"
"neoarchaik 2,8 mld"
"mezoarchaik 3,2 mld"
"paleoarchaik 3,6 mld"
"eoarchaik 4,0 mld"
"hadeik ~4,6 mld"
